Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
5              600.0000       0.1769         97.0100        79.9381        93.3758        98.4007        85.9828        95.7924        
5              700.0000       0.7779         97.0255        80.0000        93.3958        91.2178        92.6149        91.5059        
5              800.0000       0.1329         97.0385        80.0723        93.4263        97.5275        88.6095        95.5668        
5              900.0000       0.2785         97.0599        80.1820        93.4678        97.1660        91.2776        95.8714        
5              1000.0000      0.4768         97.0755        80.3258        93.5065        95.5961        91.5141        94.7659        
5              1100.0000      1.3395         97.0857        80.4299        93.5386        94.2721        90.0207        93.3446        
5              1200.0000      0.0186         97.1035        80.5447        93.5860        98.9300        82.9656        95.4202        
5              1300.0000      0.0799         97.1213        80.6239        93.6188        98.2228        89.1461        96.2324        
5              1400.0000      0.4630         97.1297        80.6707        93.6280        97.8584        87.6948        95.7248        
5              1500.0000      0.0012         97.1469        80.7473        93.6603        97.2700        90.9389        95.9616        
5              1600.0000      0.1983         97.1638        80.8478        93.6979        98.5027        89.2246        96.4241        
5              1700.0000      0.6404         97.1613        80.9169        93.7059        97.5708        87.5262        95.4089        


Training ended at 2019-07-12 12:33:54.426964 



With 2 pooling

Training started at 2019-07-12 12:37:36.372115 

Model name is 12_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              0.0000         0.6299         81.8182        25.0000        66.6667        92.6829        30.6674        80.0000        
1              100.0000       0.2194         94.7595        64.1026        87.6568        94.8869        74.9220        90.5584        
1              200.0000       0.3355         95.2746        65.0150        88.5904        98.4985        53.6325        89.0243        
1              300.0000       0.2842         95.7538        67.7932        89.5238        95.3438        82.3947        92.4647        
1              400.0000       0.8765         96.0445        70.2541        90.3076        94.9608        80.6468        91.7654        
1              500.0000       0.0447         96.1885        71.1844        90.7385        96.4398        81.9859        93.4349        
1              600.0000       2.0216         96.2486        72.6807        91.1481        96.7641        80.5946        93.3897        
1              700.0000       0.0635         96.2324        74.4206        91.4883        95.9020        86.3733        93.8748        
1              800.0000       0.3586         96.3204        75.2179        91.6854        97.0638        85.8953        94.7772        
1              900.0000       0.3282         96.1747        75.9814        91.6833        97.9846        77.0833        93.3446        
1              1000.0000      0.0146         96.1088        76.0987        91.6817        99.3389        71.5784        93.3672        
1              1100.0000      0.0268         96.2521        76.8269        91.9225        98.1663        83.6066        95.1607        
1              1200.0000      0.1505         96.2321        76.7616        91.9067        97.8540        79.8127        93.9425        
1              1300.0000      0.5688         96.3546        76.9411        92.1138        97.4874        83.9474        94.5854        
1              1400.0000      0.1528         96.4654        76.8960        92.2294        98.6806        82.2410        95.1720        
1              1500.0000      0.0121         96.4671        77.3817        92.3296        97.2867        87.0248        95.0028        
1              1600.0000      0.0554         96.5541        77.9347        92.4922        96.5260        89.6261        95.0479        
1              1700.0000      0.1079         96.5626        78.3015        92.5848        97.2489        88.4942        95.3864        
2              0.0000         0.1204         96.5798        78.3149        92.5997        91.7481        88.1613        90.9757        
2              100.0000       0.1233         96.5956        78.6901        92.6816        93.9591        84.7071        91.9459        
2              200.0000       0.0508         96.6380        79.1622        92.8161        97.4996        88.4780        95.6007        
2              300.0000       0.0462         96.6635        79.5551        92.9022        96.8277        87.8950        94.9464        
2              400.0000       0.1540         96.6804        79.9026        92.9804        92.9892        89.1005        92.1602        
2              500.0000       0.0306         96.7213        80.3313        93.0927        95.3793        84.0259        93.0062        
2              600.0000       0.0033         96.7517        80.7439        93.1956        98.5352        82.4365        94.9577        
2              700.0000       0.0258         96.7783        81.0044        93.2713        97.0690        87.5066        95.0141        
2              800.0000       0.3638         96.8090        81.1755        93.3411        94.1588        92.6463        93.8409        
2              900.0000       0.5244         96.8132        81.5583        93.4182        97.0051        86.2376        94.5516        
2              1000.0000      0.0179         96.8067        81.7750        93.4584        95.8942        90.5544        94.7208        
2              1100.0000      0.0365         96.8490        81.9088        93.5422        93.7119        93.0155        93.5702        
2              1200.0000      0.2461         96.8830        82.0437        93.6092        97.9939        85.8006        95.2623        
2              1300.0000      0.0015         96.9116        82.3518        93.6979        97.5981        85.8393        95.1720        
2              1400.0000      0.0025         96.9593        82.5145        93.7768        96.2718        88.2169        94.5290        
2              1500.0000      0.0022         96.9797        82.7041        93.8366        98.3214        85.9103        95.6684        
2              1600.0000      0.0108         97.0390        82.9099        93.9383        91.2874        93.8053        91.8331        
2              1700.0000      0.0003         97.0725        83.1184        94.0188        97.6807        86.6630        95.3976        
3              0.0000         0.0045         97.0922        83.1911        94.0578        98.0206        90.0112        96.4016        
3              100.0000       0.0057         97.1164        83.3152        94.1056        95.8726        90.1531        94.6080        
3              200.0000       0.0373         97.1532        83.4686        94.1794        98.2540        90.8678        96.7851        
3              300.0000       0.0729         97.1915        83.5326        94.2389        97.7768        89.5175        96.0970        
3              400.0000       0.0659         97.2077        83.6388        94.2785        96.8795        88.7493        95.1269        
3              500.0000       0.4908         97.2162        83.7282        94.3062        96.2029        94.5917        95.8601        
3              600.0000       0.0209         97.2076        83.7449        94.3036        98.2461        85.1231        95.4202        
3              700.0000       0.1159         97.2309        83.9266        94.3593        95.7453        92.7673        95.1043        
